	"Archive-ID"	"Media-ID"	"Duration"					
282	20	"ZA020_06_06"	"NULL"	"ZA020_06_06_tc_tab.ods"	17.09.09 11:57	22.09.09 15:52	"segmented"	"NULL"
283	60	"ZA060_04_01"	"00:47:21.08"	"ZA060_04_01_tc_tab.ods"	24.09.09 09:09	24.09.09 09:10	"segmented"	"NULL"
284	60	"ZA060_04_02"	"00:47:25.22"	"ZA060_04_02_tc_tab.ods"	24.09.09 09:10	24.09.09 09:10	"segmented"	"NULL"
285	60	"ZA060_04_03"	"00:46:54.12"	"ZA060_04_03_tc_tab.ods"	24.09.09 09:10	24.09.09 09:11	"segmented"	"NULL"
286	60	"ZA060_04_04"	"00:46:37.22"	"ZA060_04_04_tc_tab.ods"	24.09.09 09:11	24.09.09 09:12	"segmented"	"NULL"
287	562	"ZA562_07_01"	"NULL"	"ZA562_07_01_tc_tab.ods"	24.09.09 09:12	24.09.09 09:13	"segmented"	"NULL"
288	562	"ZA562_07_02"	"NULL"	"ZA562_07_02_tc_tab.ods"	24.09.09 09:13	24.09.09 09:13	"segmented"	"NULL"
289	562	"ZA562_07_03"	"NULL"	"ZA562_07_03_tc_tab.ods"	24.09.09 09:13	24.09.09 09:14	"segmented"	"NULL"
290	562	"ZA562_07_04"	"NULL"	"ZA562_07_04_tc_tab.ods"	24.09.09 09:14	24.09.09 09:15	"segmented"	"NULL"
291	562	"ZA562_07_05"	"NULL"	"ZA562_07_05_tc_tab.ods"	24.09.09 09:15	24.09.09 09:15	"segmented"	"NULL"
292	562	"ZA562_07_06"	"NULL"	"ZA562_07_06_tc_tab.ods"	24.09.09 09:15	24.09.09 09:16	"segmented"	"NULL"
293	562	"ZA562_07_07"	"NULL"	"ZA562_07_07_tc_tab.ods"	24.09.09 09:16	24.09.09 09:16	"segmented"	"NULL"
294	474	"ZA474_05_01"	"00:35:15.12"	"ZA474_05_01_tc_tab.ods"	13.10.09 10:33	28.10.09 17:55	"segmented"	"NULL"
295	474	"ZA474_05_02"	"00:35:44.03"	"ZA474_05_02_tc_tab.ods"	13.10.09 10:34	13.10.09 10:38	"segmented"	"NULL"
296	474	"ZA474_05_03"	"00:35:04.12"	"ZA474_05_03_tc_tab.ods"	13.10.09 10:35	13.10.09 10:38	"segmented"	"NULL"
297	474	"ZA474_05_04"	"00:35:28.08"	"ZA474_05_04_tc_tab.ods"	13.10.09 10:36	13.10.09 10:38	"segmented"	"NULL"
298	474	"ZA474_05_05"	"00:11:48.13"	"ZA474_05_05_tc_tab.ods"	13.10.09 10:37	13.10.09 10:38	"segmented"	"NULL"
